# A list of all known abc-triples with q > 1.4 
# a,b,c are factorized. There is a '*' between every facor and an exponent to every base, making it machine-friendly to read.
# Sources: 
# * http://www.math.leidenuniv.nl/~desmit/abc/index.php?set=2 (ABC@home, Bart de Smit) 
# * "LLL & ABC", Tim Dokchitser, Journal of Number Theory 107 (2004) p.166
# Mistakes? Errors? Suggestions? mail@jangampe.de
# quality;size;merit;a;b;c
1.6299;6.81;8.64;2^1;3^10*109^1;23^5
1.6260;7.68;10.18;11^2;3^2*5^6*7^3;2^21*23^1
1.6235;15.70;26.86;19^1*1307^1;7^1*29^2*31^8;2^8*3^22*5^4
1.5808;9.92;13.01;283^1;5^11*13^2;2^8*3^8*17^3
1.5679;3.64;2.89;1^1;2^1*3^7;5^4*7^1
1.5471;4.77;4.17;7^3;3^10;2^11*29^1
1.5444;20.79;31.54;7^2*41^2*311^3;11^16*13^2*79^1;2^1*3^3*5^23*953^1
1.5367;13.05;16.74;5^3;2^9*3^17*13^2;11^5*17^1*31^3*137^1
1.5270;9.78;11.02;13^1*19^6;2^30*5^1;3^13*11^2*31^1
1.5222;17.08;22.92;3^18*23^1*2269^1;17^3*29^1*31^8;2^10*5^2*7^15
1.5094;19.49;26.17;13^10*37^2;3^7*19^5*71^4*223^1;2^26*5^12*1873^1
1.5033;17.37;22.12;2^7*23^8;19^9*857^2;3^22*13^1*47^2*263^1
1.5028;9.28;9.55;239^1;5^8*17^3;2^10*37^4
1.4976;10.99;11.82;5^2*7937^1;7^13;2^18*3^7*13^2
1.4924;19.15;24.26;2^2*11^1;3^2*13^10*17^1*151^1*4423^1;5^9*139^6
1.4916;15.78;18.79;73^1;2^13*7^7*941^2;3^16*103^3*127^1
1.4892;11.49;12.24;2^24;11^7*19^1*29^2;3^11*5^3*7^3*41^1
1.4889;5.41;4.25;11^2;3^9*13^1;2^11*5^3
1.4829;4.52;3.18;37^1;2^15;3^8*5^1
1.4813;12.97;14.04;5^14*19^1;2^5*3^1*7^13;11^7*37^2*353^1
1.4805;26.36;35.16;5^22*79^1*45949^1;3^2*13^18*61^3;2^23*17^4*251^2*1733^3
1.4744;8.48;7.70;1^1;3^16*7^1;2^3*11^1*23^1*53^3
1.4741;7.50;6.48;7^2;2^10*11^1*53^2;3^4*5^8
1.4713;8.33;7.44;3^4*199^1;11^8;2^3*5^7*7^3
1.4657;14.27;15.11;17^4*67^1;2^19*137^4;3^15*5^3*13^1*89^2
1.4655;12.36;12.48;7^12;2^14*67^3*461^1;3^13*11^1*19^4
1.4646;21.58;25.80;5^2*23^10*106531^1;7^11*11^3*193^4;2^4*3^19*17^8*29^1
1.4619;6.68;5.29;2^7*5^2;7^6*41^1;13^6
1.4606;27.78;35.12;7^1*167^1*811^4*919^1;3^4*13^2*23^12*67^4;2^31*5^3*11^2*17^5*107^4
1.4594;21.21;24.80;5^11*31^1*191^1;2^8*7^13*89^1*859^2;3^30*13^4*277^1
1.4578;20.53;23.64;5^12*17^2*31^2*1699^1;23^14*29^1;2^19*3^2*11^1*13^10*47^1
1.4578;13.02;13.03;3^6*5^12;2^16*13^1*59^4;7^11*47^1*113^1
1.4575;17.33;18.96;3^1*109^1*131^4;5^22*89^1;2^3*11^2*19^5*97^4
1.4571;10.86;10.19;3^2*5^2;2^4*17^3*31^4;7^10*257^1
1.4562;13.98;14.24;2^25*19^1;3^1*5^15*1033^1;11^7*13^3*47^2
1.4557;3.38;1.86;1^1;2^5*3^1*5^2;7^4
1.4551;10.54;9.72;3^2*11^6;2^35;19^5*13883^1
1.4550;14.48;14.86;23^2*31^5;2^25*7^1*109^3;3^19*5^2*19^2*29^1
1.4544;14.39;14.70;7^8*2707^1;2^10*5^10*29^3;3^18*11^4*43^1
1.4533;16.32;17.29;13^6;2^1*3^4*7^4*11^9*23^1;5^7*103^4*2399^1
1.4532;18.05;19.71;7^5*23^2*101^4;2^43*359^2;3^9*13^1*19^6*307^2
1.4526;9.43;8.28;2^19*13^1*103^1;7^11;3^11*5^3*11^2
1.4520;23.08;26.93;2^20*233^5;37^1*59^8*4729^2;3^24*5^6*19^1*23^1*251^2
1.4519;23.76;27.92;31^3*61^5;17^10*83^2*2719^1*15101^1;2^1*3^3*5^17*7^12
1.4513;6.02;4.39;3^5*7^1;5^6*67^1;2^20
1.4509;9.77;8.64;3^5*7^3;2^13*23^3*59^1;5^3*19^6
1.4502;28.14;34.40;23^8*37^4;2^28*3^7*11^4*19^3*61^1*127^1*173^2;5^18*17^4*43^2*4817^2
1.4501;24.36;28.64;23^3*53^6*3167^2;2^8*3^29*11399^2;5^7*7^4*13^12*523^1
1.4500;10.81;9.88;1^1;3^3*5^3*7^7*23^1;2^13*11^4*13^1*41^1
1.4497;7.32;5.76;1^1;3^1*5^5*47^2;2^18*79^1
1.4494;26.56;31.88;5^4*19^13*103^1;2^13*13^9*29^1*2441^1*7673^2;3^19*11^4*463^5
1.4480;14.42;14.42;11^2*43^1;5^9*7^2*13^4*97^1;2^3*3^1*73^7
1.4477;9.18;7.84;89^1;7^1*11^8;2^20*3^3*53^1
1.4476;15.78;16.21;3^17;2^21*5^6*23^1*7993^1;47^2*307^5
1.4474;28.03;33.90;2^24*5^5*47^5*181^2;13^14*19^1*103^1*571^2*4261^1;7^28*17^1*37^2
1.4469;16.64;17.32;409^4;2^21*11^5*17^1*19^1*397^1;3^5*7^5*13^9
1.4462;9.85;8.59;3^2*5^7*79^1;2^29*13^1;11^7*19^2
1.4451;5.59;3.86;2^1*13^2;5^8;3^1*19^4
1.4446;17.44;18.26;3^11*5^8*4229^1;17^5*23^5*31^3;2^32*7^2*109^3
1.4442;13.03;12.44;2^19*263^1;83^1*167^5;5^4*29^7
1.4435;16.02;16.28;2^2*11^4*17^1;5^17*13577^1;3^4*23^9*71^1
1.4433;5.71;3.95;1^1;2^12*5^3;3^5*7^2*43^1
1.4433;7.69;6.04;3^2*19^3;5^11;2^17*373^1
1.4428;22.61;25.37;19^8*43^4*149^2;2^15*5^23*101^1;3^13*13^1*29^2*37^6*911^1
1.4420;15.51;15.53;2^5*11^2*19^9;5^15*37^2*47^1;3^7*7^11*743^1
1.4418;11.57;10.52;3^16*23^2;2^13*29^2*37^3;5^9*11^4*13^1
1.4418;20.00;21.59;2^13*7^4*653^2;3^18*5^5*181^1*673^2;11^1*13^13*31^3
1.4415;17.34;17.93;7^3*29^5*151^2;2^4*5^16*97^1*919^1;3^27*13^4
1.4414;9.60;8.15;31^3;2^1*17^1*41^5;3^1*5^7*7^5
1.4410;7.46;5.74;3^4*23^2;31^5;2^15*5^3*7^1
1.4403;16.98;17.38;2^35*7^2*17^2*19^1;3^27*107^2;5^15*37^2*2311^1
1.4391;7.28;5.52;1^1;2^4*3^7*547^1;5^8*7^2
1.4384;9.40;7.84;1^1;19^1*509^3;2^19*3^4*59^1
1.4382;20.00;21.32;3^1*5^6*7^8*53^1;167^9;2^1*11^6*193^4*20551^1
1.4381;19.17;20.18;2^26*11^4*7639^1;5^6*23^11;3^18*47^4*7879^1
1.4379;15.65;15.47;7^8*13^1*89^3;3^13*5^3*11^4*1499^1;2^1*19^12
1.4365;19.32;20.26;17^4*19^6;41^10*1559^1;2^12*3^15*5^1*29^1*1567^2
1.4362;9.55;7.94;2^1*13^5;7^6*173^2;3^13*47^2
1.4358;24.02;26.70;3^4*7^2*41^1;2^25*227^7;5^9*11^8*2489197589^1
1.4350;4.93;3.10;2^10*7^1;5^7;3^8*13^1
1.4349;17.50;17.71;3^17*809^1;2^27*11^9;5^1*7^4*13^5*59^1*1097^2
1.4342;17.35;17.47;2^7*89^2;5^4*7^6*11^2*71^4;3^13*19^3*4547^2
1.4340;15.93;15.62;11^9*43^1;2^4*23^6*47^1*277^2;5^14*7^2*13^4
1.4336;23.22;25.37;11^1*103^8;2^45*3^7*29^1*37^1*1997^1;5^11*7^10*79^1*389^2
1.4335;15.37;14.87;2^5*3^18;5^6*7^10*23^2;11^9*691^1*1433^1
1.4335;16.81;16.72;5^3*8111^1;19^12*29^1;2^19*3^3*17^4*233^2
1.4331;19.10;19.71;7^11*19^1;5^12*1019^1*7151^2;2^28*3^12*11^3*67^1
1.4330;8.68;6.89;31^2;3^5*5^9;2^5*23^4*53^1
1.4329;14.13;13.29;2^21;7^6*17^1*8209^2;5^12*743^2
1.4323;16.86;16.71;2^17*13^3;7^3*11^7*43^2*5801^1;3^17*17^6*23^1
1.4323;18.13;18.38;2^32*73^3;3^14*5^3*11^1*13^5*557^1;7^13*23^2*163^2
1.4321;16.49;16.23;3^17*67^1;7^7*11^3*227^2*547^1;2^14*5^7*17^6
1.4318;15.35;14.76;61^4*149^1;2^23*13^1*29^5;3^8*5^1*7^4*73^4
1.4316;13.28;12.18;17^4*79^3*211^1;2^29*23^1*29^2;5^19
1.4313;16.87;16.66;2^27*7^5;3^26*11^1*19^1*139^1;5^2*13^6*43^4*179^1
1.4312;11.23;9.72;2^11;3^9*7^3*11^3*19^1;29^1*277^4
1.4311;12.49;11.20;2^9*19^2;59^6*73^1;3^3*5^7*7^2*31^3
1.4304;13.21;12.04;193^1;2^1*5^6*19^2*1193^2;3^9*13^8
1.4302;15.36;14.68;3^6*7^2*13^1*127^2;2^38*61^1*137^1;5^11*19^6
1.4299;19.99;20.65;7^2*23^5;3^8*11^12*4703^1;2^1*5^2*13^2*19^3*29^6*53^2
1.4299;17.99;18.02;2^9*37^1*97^5;5^5*7^1*89^7;3^20*17^4*3323^1
1.4296;8.34;6.44;3^9*29^1;7^6*43^2;2^24*13^1
1.4294;17.58;17.46;2^20*79^1*97^1;5^3*7^6*11^10;3^4*13^7*8663^2
1.4290;10.44;8.74;3^21;7^2*11^6*199^1;2^1*13^8*17^1
1.4289;22.89;24.49;3^10*7^6*541^1*22031^1;5^3*29^6*1013^4;2^17*11^16*13^1
1.4289;10.82;9.17;73^2;2^11*11^4*13^3;3^11*5^5*7^1*17^1
1.4284;11.77;10.25;5^14*11^1;3^6*7^5*13^2*251^1;2^21*23^4
1.4284;17.38;17.13;29^4;2^14*3^3*31^1*47^2*199^3;7^12*4153^2
1.4283;6.98;5.00;11^1;7^3*167^2;2^1*3^14
1.4276;9.60;7.75;73^1;11^5*157^2;2^2*3^10*7^5
1.4275;14.70;13.72;61^4;2^20*41^3*83^2;3^22*5^1*19^1*167^1
1.4271;8.12;6.15;3^10;7^8*23^1;2^9*509^2
1.4268;11.05;9.36;31^1;2^5*5^10*19^2;3^1*7^5*11^3*41^2
1.4266;2.11;0.76;3^1;5^3;2^7
1.4257;22.05;23.06;3^6*47^7*167^1;7^9*11^4*23^4*68473^1;2^5*5^15*103^5
